A,First letter
Replenish,"To fill again after having been diminished or emptied; to stock anew; hence, to fill completely; to cause to abound."
Report,"To write an account of for publication, as in a newspaper; as, to report a public celebration or a horse race."
Report,"An official statement of facts, verbal or written; especially, a statement in writing of proceedings and facts exhibited by an officer to his superiors; as, the reports of the heads af departments to Congress, of a master in chancery to the court, of committees to a legislative body, and the like."
Reprevable,Reprovable.
Reprise,To recompense; to pay.
Repudiate,"To divorce, put away, or discard, as a wife, or a woman one has promised to marry."
Repulse,Figuratively: Refusal; denial; rejection; failure.
Require,To demand or exact as indispensable; to need.
Rescissory,Tending to rescind; rescinding.
Rese,To shake; to quake; to tremble.
Reseat,"To seat or set again, as on a chair, throne, etc."
Resettle,"To settle again, or a second time."
Residue,"That part of a testeator's estate wwhich is not disposed of in his will by particular and special legacies and devises, and which remains after payment of debts and legacies."
Resolutely,In a resolute manner; with fixed purpose; boldly; firmly; steadily; with perseverance.
Resolvableness,The quality of being resolvable; resolvability.
Resound,"To sound loudly; as, his voice resounded far."
Respect,"The act of noticing with attention; the giving particular consideration to; hence, care; caution."
Respectability,The state or quality of being respectable; the state or quality which deserves or commands respect.
Respectuous,Respectable.
Responsory,"A versicle sung in answer to the priest, or as a refrain."
Restate,To state anew.
Restrict,Restricted.
Restrictive,Astringent or styptic in effect.
Resurrect,To reanimate; to restore to life; to bring to view (that which was forgotten or lost).
Resurrectionist,"One who steals bodies from the grave, as for dissection."
Resurvey,A second or new survey.
Retchless,Careless; reckless.
Reticular,Of or pertaining to a reticulum.
Retirade,"A kind of retrenchment, as in the body of a bastion, which may be disputed inch by inch after the defenses are dismantled. It usually consists of two faces which make a reentering angle."
Retire,"To cause to retire; specifically, to designate as no longer qualified for active service; to place on the retired list; as, to retire a military or naval officer."
Retractable,Capable of being retracted; retractile.
Retractive,Serving to retract; of the nature of a retraction.
Retrogenerative,Begetting young by retrocopulation.
Retrousse,Turned up; -- said of a pug nose.
Revealability,The quality or state of being revealable; revealableness.
Revenge,"To inflict harm in return for, as an injury, insult, etc.; to exact satisfaction for, under a sense of injury; to avenge; -- followed either by the wrong received, or by the person or thing wronged, as the object, or by the reciprocal pronoun as direct object, and a preposition before the wrong done or the wrongdoer."
Reverence,To regard or treat with reverence; to regard with respect and affection mingled with fear; to venerate.
Reverent,"Expressing reverence, veneration, devotion, or submission; as, reverent words; reverent behavior."
Reverse,"Reversed; as, a reverse shell."
Reverse,To become or be reversed.
Reversion,That which reverts or returns; residue.
Revest,"To vest again with possession or office; as, to revest a magistrate with authority."
Review,"To reexamine judically; as, a higher court may review the proceedings and judgments of a lower one."
Revivification,The reduction of a metal from a state of combination to its metallic state.
Rewake,To wake again.
Rhabdosphere,A minute sphere composed of rhabdoliths.
Rhachides,of Rhachis
Rhadamanthine,"Of or pertaining to Rhadamanthus; rigorously just; as, a Rhadamanthine judgment."
Rhamadan,See Ramadan.
Rhematic,The doctrine of propositions or sentences.
Rhizomatous,Having the nature or habit of a rhizome or rootstock.
Rhizome,A rootstock. See Rootstock.
Ribibe,An old woman; -- in contempt.
Rich,"Not faint or delicate; vivid; as, a rich color."
Rich,To enrich.
Ride,"To convey, as by riding; to make or do by riding."
Ridge,The highest portion of the glacis proceeding from the salient angle of the covered way.
Riga fir,"A species of pine (Pinus sylvestris), and its wood, which affords a valuable timber; -- called also Scotch pine, and red / yellow deal. It grows in all parts of Europe, in the Caucasus, and in Siberia."
Righteoused,Made righteous.
Rightful,"Having the right or just claim according to established laws; being or holding by right; as, the rightful heir to a throne or an estate; a rightful king."
Ringing,of Ring
Ringingly,In a ringing manner.
Riot,"To disturb the peace; to raise an uproar or sedition. See Riot, n., 3."
Ripped,of Rip
Riser,"A feed head. See under Feed, n."
Rival,A person having a common right or privilege with another; a partner.
Roam,"The act of roaming; a wandering; a ramble; as, he began his roam o'er hill amd dale."
Roan,"Having a bay, chestnut, brown, or black color, with gray or white thickly interspersed; -- said of a horse."
Roared,of Roar
Robin,"Any one of several Asiatic birds; as, the Indian robins. See Indian robin, below."
Roborant,Strengthening.
Rodomel,Juice of roses mixed with honey.
Roller,"A cylinder coated with a composition made principally of glue and molassess, with which forms of type are inked previously to taking an impression from them."
Roncador,"Any one of several species of California sciaenoid food fishes, especially Roncador Stearnsi, which is an excellent market fish, and the red roncador (Corvina, / Johnius, saturna)."
Roomily,Spaciously.
Roosa oil,The East Indian name for grass oil. See under Grass.
Rosicrucian,"One who, in the 17th century and the early part of the 18th, claimed to belong to a secret society of philosophers deeply versed in the secrets of nature, -- the alleged society having existed, it was stated, several hundred years."
Rostrum,"A pair of forceps of various kinds, having a beaklike form."
Rougecroix,One of the four pursuivants of the English college of arms.
Rouge dragon,One of the four pursuivants of the English college of arms.
Rouk,"See 5th Ruck, and Roke."
Round,"A course of action or conduct performed by a number of persons in turn, or one after another, as if seated in a circle."
Rouse,A bumper in honor of a toast or health.
Rower,One who rows with an oar.
Rubianic,"pertaining to, or derived from, rubian; specifically, designating an acid called also ruberythrinic acid."
Ruby,The color of a ruby; carmine red; a red tint.
Rubied,of Ruby
Ruck,"The common sort, whether persons or things; as, the ruck in a horse race."
Rudderpost,"The shank of a rudder, having the blade at one end and the attachments for operating it at the other."
Ruffianage,"Ruffians, collectively; a body of ruffians."
Rule,"A determinate method prescribed for performing any operation and producing a certain result; as, a rule for extracting the cube root."
Rumble,To murmur; to ripple.
Rump,"Among butchers, the piece of beef between the sirloin and the aitchbone piece. See Illust. of Beef."
Rumply,Rumpled.
Run,"To travel; to make progress; to be moved by mechanical means; to go; as, the steamboat runs regularly to Albany; the train runs to Chicago."
Runner,A movable slab or rubber used in grinding or polishing a surface of stone.
Running,"trained and kept for running races; as, a running horse."
Running,"Continuous; keeping along step by step; as, he stated the facts with a running explanation."
Runway,The beaten path made by deer or other animals in passing to and from their feeding grounds.
Rupee,"A silver coin, and money of account, in the East Indies."
Rustic,"An inhabitant of the country, especially one who is rude, coarse, or dull; a clown."
Rustle,"A quick succession or confusion of small sounds, like those made by shaking leaves or straw, by rubbing silk, or the like; a rustling."
Saccharimetrical,Of or pertaining to saccharimetry; obtained by saccharimetry.
Saccharine,"Of or pertaining to sugar; having the qualities of sugar; producing sugar; sweet; as, a saccharine taste; saccharine matter."
Saddletree,The frame of a saddle.
Safeguard,To guard; to protect.
Sag,State of sinking or bending; sagging.
Sainted,of Saint
Salamandroidea,A division of Amphibia including the Salamanders and allied groups; the Urodela.
Salt,A sailor; -- usually qualified by old.
Salt,Marshes flooded by the tide.
Salve,An adhesive composition or substance to be applied to wounds or sores; a healing ointment.
Samian,Of or pertaining to the island of Samos.
Samshoo,Alt. of Samshu
Sannop,Same as Sannup.
Santalum,"A genus of trees with entire opposite leaves and small apetalous flowers. There are less than a dozen species, occurring from India to Australia and the Pacific Islands. See Sandalwood."
Sapajou,"Any one of several species of South American monkeys of the genus Cebus, having long and prehensile tails. Some of the species are called also capuchins. The bonnet sapajou (C. subcristatus), the golden-handed sapajou (C. chrysopus), and the white-throated sapajou (C. hypoleucus) are well known species. See Capuchin."
Sarcle,"To weed, or clear of weeds, with a hoe."
Sarco-,"A combining form from Gr. sa`rx, sa`rkos, flesh; as, sarcophagous, flesh-eating; sarcology."
Sarplar,"A large bale or package of wool, containing eighty tods, or 2,240 pounds, in weight."
Satellite,"A secondary planet which revolves about another planet; as, the moon is a satellite of the earth. See Solar system, under Solar."
Satisfactive,Satisfactory.
Satyr,The orang-outang.
Sauce,"To make poignant; to give zest, flavor or interest to; to set off; to vary and render attractive."
Saugh,Alt. of Sauh
Sauks,Same as Sacs.
Saxicavid,Of or pertaining to the saxicavas.
Say,Saw.
Scab,"An incrustation over a sore, wound, vesicle, or pustule, formed by the drying up of the discharge from the diseased part."
Scabbing,of Scab
Scaffold,"A temporary structure of timber, boards, etc., for various purposes, as for supporting workmen and materials in building, for exhibiting a spectacle upon, for holding the spectators at a show, etc."
Scale,"To climb by a ladder, or as if by a ladder; to ascend by steps or by climbing; to clamber up; as, to scale the wall of a fort."
Scallop,"To mark or cut the edge or border of into segments of circles, like the edge or surface of a scallop shell. See Scallop, n., 2."
Scaly,"Composed of scales lying over each other; as, a scaly bulb; covered with scales; as, a scaly stem."
Scandalous,"Disgraceful to reputation; bringing shame or infamy; opprobrious; as, a scandalous crime or vice."
Scapulary,"A loose sleeveless vestment falling in front and behind, worn by certain religious orders and devout persons."
Scattered,"Dispersed; dissipated; sprinkled, or loosely spread."
Scatteringly,In a scattering manner; dispersedly.
Scern,To discern; to perceive.
Scholar,"In English universities, an undergraduate who belongs to the foundation of a college, and receives support in part from its revenues."
Scholia,of Scholium
School,To train in an institution of learning; to educate at a school; to teach.
Sclavonian,Same as Slavonian.
Sclerodermous,"Having the integument, or skin, hard, or covered with hard plates."
Scoldingly,In a scolding manner.
Scolopendra,A genus of venomous myriapods including the centipeds. See Centiped.
Scolytid,Any one of numerous species of small bark-boring beetles of the genus Scolytus and allied genera. Also used adjectively.
Scoop,A place hollowed out; a basinlike cavity; a hollow.
Scorch,"To burn superficially; to parch, or shrivel, the surface of, by heat; to subject to so much heat as changes color and texture without consuming; as, to scorch linen."
Score,"Especially, to mark with significant lines or notches, for indicating or keeping account of something; as, to score a tally."
Scotch,To cut superficially; to wound; to score.
Scramble,"To collect by scrambling; as, to scramble up wealth."
Scroyle,A mean fellow; a wretch.
Scumber,To void excrement.
Scumbled,of Scumble
Scunner,"To have a feeling of loathing or disgust; hence, to have dislike, prejudice, or reluctance."
Sea grass,Eelgrass.
Seamanship,"The skill of a good seaman; the art, or skill in the art, of working a ship."
Tabescent,"Withering, or wasting away."
Tacit,"Done or made in silence; implied, but not expressed; silent; as, tacit consent is consent by silence, or by not interposing an objection."
Taenia,A genus of intestinal worms which includes the common tapeworms of man. See Tapeworm.
Tahitian,A native inhabitant of Tahiti.
Take,"Not to refuse or balk at; to undertake readily; to clear; as, to take a hedge or fence."
Tale,To tell stories.
U,"the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y."
Umber,"To color with umber; to shade or darken; as, to umber over one's face."
Umbilicus,Either one of the two apertures in the calamus of a feather.
Umbra,"Any one of several species of sciaenoid food fishes of the genus Umbrina, especially the Mediterranean species (U. cirrhosa), which is highly esteemed as a market fish; -- called also ombre, and umbrine."
Unaccomplishment,The state of being unaccomplished.
Unanswerable,"Not answerable; irrefutable; conclusive; decisive; as, he have an unanswerable argument."
Unappliable,Inapplicable.
Unbegilt,"Not gilded; hence, not rewarded with gold."
Unbelief,"Disbelief; especially, disbelief of divine revelation, or in a divine providence or scheme of redemption."
Unbone,"To deprive of bones, as meat; to bone."
Unbottomed,Deprived of a bottom.
Uncertainties,of Uncertainty
Uncheckable,Not capable of being checked or stopped.
Unchristianize,To turn from the Christian faith; to cause to abandon the belief and profession of Christianity.
Uncoined,"Not coined, or minted; as, uncoined silver."
Uncolt,To unhorse.
Unconcluding,Inconclusive.
Unconsidered,Not considered or attended to; not regarded; inconsiderable; trifling.
Unconverted,Not persuaded of the truth of the Christian religion; heathenish.
Uncredit,To cause to be disbelieved; to discredit.
Unction,"The act of anointing, smearing, or rubbing with an unguent, oil, or ointment, especially for medical purposes, or as a symbol of consecration; as, mercurial unction."
Uncustomable,"Not customable, or subject to custom duties."
Underagent,A subordinate agent.
Under-arm,"Done (as bowling) with the arm not raised above the elbow, that is, not swung far out from the body; underhand.  Cf. Over-arm and Round-Arm."
Underconduct,A lower conduit; a subterranean conduit.
Underdig,To dig under or beneath; to undermine.
Underdressed,Not dresses enough.
Underfollow,To follow closely or immediately after.
Underlay,To lay beneath; to put under.
Understand,To be informed; to have or receive knowledge.
Understanding,"The act of one who understands a thing, in any sense of the verb; knowledge; discernment; comprehension; interpretation; explanation."
Undreamed,Alt. of Undreamt
Undulated,of Undulate
Unelegant,Inelegant.
Unembarrassed,"Free from pecuniary difficulties or encumbrances; as, he and his property are unembarrassed."
Unexact,Not exact; inexact.
Ungain,"Ungainly; clumsy; awkward; also, troublesome; inconvenient."
Unhive,"To deprive of habitation or shelter, as a crowd."
Unipersonal,"Used in only one person, especially only in the third person, as some verbs; impersonal."
Universological,Of or pertaining to universology.
Unked,Odd; strange; ugly; old; uncouth.
Unknow,Unknown.
Unlearned,"Not exhibiting learning; as, unlearned verses."
Unliken,To make unlike; to dissimilate.
Unload,"To draw the charge from; as, to unload a gun."
Unlodge,To dislodge; to deprive of lodgment.
Unloosen,To loosen; to unloose.
Unmaiden,To ravish; to deflower.
Unman,To deprive of the courage and fortitude of a man; to break or subdue the manly spirit in; to cause to despond; to dishearten; to make womanish.
Unmanned,"Deprived of manly qualities; deficient in vigor, strength, courage, etc.; weak; effeminate."
Unmasterable,Incapable of being mastered or subdued.
Unmeet,Not meet or fit; not proper; unbecoming; unsuitable; -- usually followed by for.
Unoriginately,Without origin.
Unpathwayed,Pathless.
Unperishable,Imperishable.
Unpower,Want of power; weakness.
Unprofited,Profitless.
Unquietude,Uneasiness; inquietude.
Unready,To undress.
Unreason,"To undo, disprove, or refute by reasoning."
Unsexual,Not sexual; not proper or peculiar to one of the sexes.
Unshet,To unshut.
Unsincere,Not sincere or pure; insincere.
Unteam,To unyoke a team from.
Untighten,To make less tight or tense; to loosen.
Untrammeled,Not hampered or impeded; free.
Unvulnerable,Invulnerable.
Up,Aloft; on high; in a direction contrary to that of gravity; toward or in a higher place or position; above; -- the opposite of down.
Upbreak,To break upwards; to force away or passage to the surface.
Uprightness,the quality or state of being upright.
Uptie,To tie up.
Uraeum,The posterior half of an animal.
Uranian,"Of or pertaining to the planet Uranus; as, the Uranian year."
Urgent,"Urging; pressing; besetting; plying, with importunity; calling for immediate attention; instantly important."
Urine,"In mammals, a fluid excretion from the kidneys; in birds and reptiles, a solid or semisolid excretion."
Ursuk,The bearded seal.
Usufruct,"The right of using and enjoying the profits of an estate or other thing belonging to another, without impairing the substance."
Utopian,"An inhabitant of Utopia; hence, one who believes in the perfectibility of human society; a visionary; an idealist; an optimist."
Utter,To give public expression to; to disclose; to publish; to speak; to pronounce.
Vadium,Pledge; security; bail. See Mortgage.
Vagaries,of Vagary
Vaguely,In a vague manner.
Vale,"See 2d Vail, 3."
Valvasor,See Vavasor.
Variant,"Varying in from, character, or the like; variable; different; diverse."
Varicose,"Intended for the treatment of varicose veins; -- said of elastic stockings, bandages. and the like."
Varletry,The rabble; the crowd; the mob.
Vault,"A leap by aid of the hands, or of a pole, springboard, or the like."
Vaulted,of Vault
Vaunce,To advance.
Vectitation,"The act of carrying, or state of being carried."
Vector,"A directed quantity, as a straight line, a force, or a velocity. Vectors are said to be equal when their directions are the same their magnitudes equal.  Cf. Scalar."
Vegetative,"Growing, or having the power of growing, as plants; capable of vegetating."
Venality,"The quality or state of being venal, or purchasable; mercenariness; prostitution of talents, offices, or services, for money or reward; as, the venality of a corrupt court; the venality of an official."
Venom,To infect with venom; to envenom; to poison.
Venthole,A touchhole; a vent.
Verisimility,Verisimilitude.
Versed,Turned.
Version,"A change of form, direction, or the like; transformation; conversion; turning."
Verso,"The reverse, or left-hand, page of a book or a folded sheet of paper; -- opposed to recto."
Vertebrae,of Vertebra
Vesicant,A vesicatory.
Vest,"To clothe with possession; as, to vest a person with an estate; also, to give a person an immediate fixed right of present or future enjoyment of; as, an estate is vested in possession."
Vestrymen,of Vestryman
Vetturino,One who lets or drives a vettura.
Vex,To make angry or annoyed by little provocations; to irritate; to plague; to torment; to harass; to afflict; to trouble; to tease.
Vexingly,"In a vexing manner; so as to vex, tease, or irritate."
Viaticum,"The communion, or eucharist, when given to persons in danger of death."
Vibrio,"A genus of motile bacteria characterized by short, slightly sinuous filaments and an undulatory motion; also, an individual of this genus."
Vicariate,Delegated office or power; vicarship; the office or oversight of a vicar.
Vicious,Bitter; spiteful; malignant.
Vicissitudinary,Subject to vicissitudes.
Victorine,A woman's fur tippet.
Wabble,"To move staggeringly or unsteadily from one side to the other; to vacillate; to move the manner of a rotating disk when the axis of rotation is inclined to that of the disk; -- said of a turning or whirling body; as, a top wabbles; a buzz saw wabbles."
Wad,Woad.
Wahabee,"A follower of Abdel Wahab (b. 1691; d. 1787), a reformer of Mohammedanism. His doctrines prevail particularly among the Bedouins, and the sect, though checked in its influence, extends to most parts of Arabia, and also into India."
Wakened,of Waken
Walk,To move off; to depart.
Wall,"A defense; a rampart; a means of protection; in the plural, fortifications, in general; works for defense."
Wallabies,of Wallaby
Wallaroo,"Any one of several species of kangaroos of the genus Macropus, especially M. robustus, sometimes called the great wallaroo."
Ward-corn,"The duty of keeping watch and ward (see the Note under Watch, n., 1) with a horn to be blown upon any occasion of surprise."
Warming,"a. &amp; n. from Warm, v."
Warrie,See Warye.
Washout,"The washing out or away of earth, etc., especially of a portion of the bed of a road or railroad by a fall of rain or a freshet; also, a place, especially in the bed of a road or railroad, where the earth has been washed away."
Wasteboard,"See Washboard, 3."
Watcher,"One who watches; one who sits up or continues; a diligent observer; specifically, one who attends upon the sick during the night."
Water hyacinth,"Either of several tropical aquatic plants of the genus Eichhornia, related to the pickerel weed."
Water level,The level formed by the surface of still water.
Watermark,"See Water line, 2."
Water pox,"A variety of chicken pox, or varicella."
Xanthoxylene,A liquid hydrocarbon of the terpene series extracted from the seeds of a Japanese prickly ash (Xanthoxylum pipertium) as an aromatic oil.
Xiphoid,Of or pertaining to the xiphoid process; xiphoidian.
Xylophaga,A genus of marine bivalves which bore holes in wood. They are allied to Pholas.
Y,"One of the forked holders for supporting the telescope of a leveling instrument, or the axis of a theodolite; a wye."
Yakare,Same as Yacare.
Yate,A gate.  See 1st Gate.
Yaw,"To rise in blisters, breaking in white froth, as cane juice in the clarifiers in sugar works."
Yerk,A sudden or quick thrust or motion; a jerk.
Yestereve,Alt. of Yester-evening
Yet,In addition; further; besides; over and above; still.
Yodel,Alt. of Yodle
Yoke,Fig.: That which connects or binds; a chain; a link; a bond connection.
Yote,"To pour water on; to soak in, or mix with, water."
Young,"Being in the first part, pr period, of growth; as, a young plant; a young tree."
Zealless,Wanting zeal.
Zebrawood,"A kind of cabinet wood having beautiful black, brown, and whitish stripes, the timber of a tropical American tree (Connarus Guianensis)."
Zechin,See Sequin.
Zedoary,"A medicinal substance obtained in the East Indies, having a fragrant smell, and a warm, bitter, aromatic taste. It is used in medicine as a stimulant."
Zein,"A nitrogenous substance of the nature of gluten, obtained from the seeds of Indian corn (Zea) as a soft, yellowish, amorphous substance."
Zemni,"The blind mole rat (Spalax typhlus), native of Eastern Europe and Asia. Its eyes and ears are rudimentary, and its fur is soft and brownish, more or less tinged with gray. It constructs extensive burrows."
Zincking,Alt. of Zincing
Zoanthropy,A kind of monomania in which the patient believes himself transformed into one of the lower animals.